id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
36000657,Condo in Boston · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,2707695,Roman,,Dorchester,42.31471,-71.05136,Private room,71,29,30,2023-08-12,0.59,3,135,3,STR-408019
36036045,Rental unit in Boston · ★4.43 · 1 bedroom · 1 bed · 1 shared bath,244600805,Bay Village,,South End,42.34753,-71.07052,Private room,138,2,60,2023-08-06,1.19,12,17,9,Lb-101723
36036348,Rental unit in Boston · ★4.23 · Studio · 1 bath,244600805,Bay Village,,South End,42.34762,-71.07062,Private room,113,2,40,2023-08-23,0.78,12,17,17,LB-101773
36037367,Rental unit in Boston · ★4.13 · 1 bedroom · 1 shared bath,244600805,Bay Village,,Bay Village,42.34802,-71.07078,Private room,138,2,39,2023-08-18,0.77,12,17,10,LB-101773
36037475,Rental unit in Boston · ★4.19 · Studio · 1 shared bath,244600805,Bay Village,,Bay Village,42.34789,-71.07084,Private room,133,3,58,2023-06-19,1.15,12,328,7,Lb-101772
36060921,Townhouse in Boston · ★4.67 · 1 bedroom · 1 bed · 2 shared baths,8513158,Kevin,,Roxbury,42.3269,-71.09495,Private room,58,29,6,2023-09-05,0.12,3,294,3,STR-383293
36106804,Condo in Boston · ★4.66 · 3 bedrooms · 3 beds · 1 bath,41266357,Frank,,Roxbury,42.32073,-71.07485,Entire home/apt,270,3,134,2023-09-08,2.97,3,173,38,STR-414833
36108417,Bed and breakfast in Boston · ★4.76 · 1 bedroom · 3 beds · 1 private bath,270846829,John And Kay,,South Boston,42.33528,-71.0434,Private room,225,3,79,2023-09-11,1.56,3,153,20,STR-416649
36113606,Home in Boston · ★4.99 · 1 bedroom · 1 bed · 1 private bath,18409308,Marlene,,Allston,42.3607,-71.12675,Private room,136,2,178,2023-09-08,3.60,3,69,53,STR-402530
36114933,Home in Boston · ★4.99 · 1 bedroom · 1 bed · 1 private bath,18409308,Marlene,,Allston,42.36079,-71.12684,Private room,136,2,196,2023-09-15,3.94,3,79,58,STR402530
36145390,Rental unit in Boston · ★4.88 · 1 bedroom · 2 beds · 1 bath,80799606,Toni,,Dorchester,42.31096,-71.06337,Entire home/apt,122,21,25,2023-09-09,0.49,1,130,7,STR-455874
36165607,Rental unit in Boston · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,272001812,Antonio,,Dorchester,42.31163,-71.06249,Private room,113,1,105,2023-07-29,2.13,4,134,44,STR-476187
36179054,Condo in Boston · ★5.0 · 1 bedroom · 1 bed · 1 bath,26988,Anne,,Downtown,42.35882,-71.06132,Entire home/apt,125,32,11,2022-09-01,0.27,8,271,0,
36237250,Boutique hotel in Boston · ★4.68 · 1 bedroom · 1 bed · 1 private bath,270119796,A Delightful Hotel,,South End,42.34692,-71.07065,Private room,414,1,684,2023-08-21,14.73,2,357,129,Exempt: This listing is a hotel or motel
36263543,Condo in Boston · Studio · 1 bed · 1 shared bath,260306464,Tim,,Fenway,42.34504,-71.09446,Private room,95,91,0,,,1,0,0,
36282491,Boutique hotel in Boston · ★4.71 · 1 bedroom · 1 bed · 1 private bath,270119796,A Delightful Hotel,,South End,42.34692,-71.07065,Private room,432,1,28,2023-07-30,0.61,2,351,5,Exempt: This listing is a hotel or motel
36291586,Condo in Boston · Studio · 1 bed · 1 bath,155595193,Michelle,,Back Bay,42.35,-71.08718,Entire home/apt,96,29,0,,,9,258,0,
36370563,Houseboat in Boston · ★4.83 · 1 bedroom · 2 beds · 1 bath,3029783,Deborah,,Charlestown,42.37482,-71.05098,Entire home/apt,210,2,30,2023-07-30,0.59,3,150,7,STR-416892
36527382,Rental unit in Boston · 1 bedroom · 1 bed · 1 shared bath,22800940,Andrea,,Brighton,42.3411,-71.14744,Private room,42,91,1,2019-08-31,0.02,1,0,0,
36528015,Guest suite in Boston · ★4.86 · 1 bedroom · 2 beds · 1 bath,63575,Kate,,Roslindale,42.27852,-71.13872,Entire home/apt,140,2,102,2023-09-10,2.02,1,10,20,STR-439622
36529493,Rental unit in Boston · Studio · 1 bed · 1 shared bath,112783203,Amanda,,Brighton,42.33738,-71.15112,Private room,95,91,1,2019-07-28,0.02,1,0,0,
36551230,Condo in Boston · ★4.93 · 1 bedroom · 2 beds · 1 bath,2964887,Chandra,,Roxbury,42.32899,-71.09594,Entire home/apt,218,2,226,2023-09-07,4.59,1,197,64,STR-391268
36558814,Boutique hotel in Boston · 1 bedroom · 2 beds · 1 private bath,270304636,The  Whitney Hotel,,West End,42.36146,-71.07193,Private room,835,1,0,,,1,359,0,Exempt: This listing is a hotel or motel
36587216,Condo in Boston · ★4.67 · 1 bedroom · 2 beds · 1 private bath,10197317,Shannon,,South Boston,42.33487,-71.04956,Private room,200,1,3,2023-09-02,0.63,5,267,3,STR-383155
36596382,Home in Boston · ★5.0 · 4 bedrooms · 4 beds · 1.5 baths,29342116,Brian,,Roslindale,42.28767,-71.14229,Entire home/apt,410,3,5,2022-10-17,0.11,1,0,1,STR-416681
36621324,Rental unit in Boston · ★5.0 · Studio · 2 beds · 1 bath,266312920,STARS Of,,Brighton,42.34152,-71.15477,Entire home/apt,178,30,6,2023-05-28,0.13,31,313,2,Exempt: This listing is a unit used for furnished institutional or business stays
36621741,Rental unit in Boston · 1 bedroom · 2 beds · 1 bath,266312920,STARS Of,,Brighton,42.33983,-71.14692,Entire home/apt,204,30,1,2020-12-13,0.03,31,265,0,
36621742,Hotel in Boston · 1 bedroom · 2 beds · 1 private bath,266312920,STARS Of,,Brighton,42.34024,-71.14564,Private room,192,30,0,,,31,335,0,
36622810,Rental unit in Boston · ★4.88 · 2 bedrooms · 3 beds · 2 baths,65820663,Elly,,Charlestown,42.3765,-71.05067,Entire home/apt,386,3,216,2023-09-04,4.39,1,327,42,STR-400340
36636807,Home in Boston · ★5.0 · 1 bedroom · 1 bed · 2 shared baths,251933716,Merve,,Brighton,42.35723,-71.16381,Private room,79,91,3,2019-08-07,0.06,2,0,0,
